topic_id,words_with_weights,weight
0,"service(0.0384), at(0.0158), level(0.0137), function(0.0102), each(0.0083), give(0.0078), set(0.0074), study(0.0064), over(0.0058), structure(0.0057)",0.11966609663440553
1,"user(0.0318), their(0.0112), or(0.0107), application(0.0107), datum(0.0093), they(0.0084), new(0.0077), knowledge(0.0071), provide(0.0067), other(0.0066)",0.11024354133378111
2,"datum(0.0741), information(0.0128), data(0.0094), object(0.0090), value(0.0071), different(0.0063), real(0.0054), high(0.0046), study(0.0044), classification(0.0044)",0.1374790205628244
3,"design(0.0155), test(0.0123), tool(0.0110), learning(0.0104), performance(0.0098), research(0.0094), student(0.0086), '(0.0084), simulation(0.0080), their(0.0079)",0.10129420930524505
4,"feature(0.0215), study(0.0179), two(0.0113), learning(0.0105), learn(0.0096), classification(0.0081), set(0.0077), classifier(0.0077), game(0.0066), query(0.0066)",0.10761724316255497
5,"design(0.0388), product(0.0153), user(0.0108), software(0.0107), or(0.0104), provide(0.0103), study(0.0099), power(0.0088), development(0.0086), 's(0.0086)",0.13213909576901767
6,"image(0.0708), feature(0.0092), application(0.0086), high(0.0082), sensor(0.0077), technique(0.0063), face(0.0059), object(0.0059), region(0.0055), noise(0.0055)",0.13344924798229074
7,"$(0.0393), {(0.0175), }(0.0151), set(0.0111), at(0.0093), state(0.0093), code(0.0088), knowledge(0.0086), analysis(0.0059), =(0.0058)",0.13072637412029087
8,"control(0.0512), function(0.0117), controller(0.0109), parameter(0.0098), motion(0.0075), dynamic(0.0074), robot(0.0059), stability(0.0051), adaptive(0.0049), estimate(0.0047)",0.11889389642616578
9,"""(0.0598), service(0.0131), new(0.0129), between(0.0081), information(0.0076), process(0.0060), not(0.0052), 's(0.0050), framework(0.0044), provide(0.0040)",0.1259886903993354
10,"graph(0.0263), scheme(0.0113), not(0.0085), two(0.0082), order(0.0081), number(0.0076), one(0.0073), solution(0.0060), solve(0.0055), where(0.0055)",0.09429705347703349
11,"/(0.0162), information(0.0150), analysis(0.0091), :(0.0070), at(0.0070), or(0.0066), software(0.0065), between(0.0063), gene(0.0062), mapping(0.0060)",0.08582759497662992
12,"power(0.0291), set(0.0226), performance(0.0163), energy(0.0111), memory(0.0109), technique(0.0103), %(0.0093), high(0.0077), processor(0.0065), core(0.0064)",0.13007951043119603
13,"process(0.0303), task(0.0134), application(0.0110), technology(0.0108), solution(0.0106), evaluation(0.0091), environment(0.0081), different(0.0077), case(0.0076), quality(0.0071)",0.11563726141987682
14,"signal(0.0302), process(0.0134), point(0.0094), frequency(0.0093), at(0.0090), noise(0.0067), search(0.0064), low(0.0062), rate(0.0057), estimation(0.0049)",0.10118362447188133
15,"information(0.0359), service(0.0337), user(0.0262), web(0.0227), application(0.0129), mobile(0.0109), scheme(0.0086), access(0.0084), content(0.0075), provide(0.0071)",0.1737939721350336
16,"/(0.0203), performance(0.0202), channel(0.0180), rate(0.0170), scheme(0.0163), code(0.0111), video(0.0099), high(0.0088), quality(0.0083), relay(0.0066)",0.13649102162000934
17,"node(0.0315), network(0.0192), agent(0.0168), control(0.0140), solution(0.0131), each(0.0104), sensor(0.0089), ""(0.0075), change(0.0074), at(0.0070)",0.135774803618018
18,"network(0.0371), node(0.0126), protocol(0.0120), routing(0.0098), packet(0.0098), performance(0.0096), or(0.0089), delay(0.0089), study(0.0079), well(0.0074)",0.12406799595976387
19,"network(0.0981), wireless(0.0166), communication(0.0147), sensor(0.0115), security(0.0114), community(0.0099), social(0.0090), simulation(0.0084), design(0.0080), neural(0.0062)",0.19389482564037297
